Instruccion incorrecta,Instruccion correcta
"fmadd.s rd, rs1, rs2","fmadd.s rd, rs1, rs2, rs3"
"sltu rd, rs1, rs2","sltu rd, rs1, rs2"
"flt.s rd, rs1","flt.s rd, rs1, rs2"
"bne rd, rs1, address","bne rd, rs1, address"
"slti rd, rs1, imm","slti rd, rs1, imm"
"sltu rd, rs1, rs2","sltu rd, rs1, rs2"
"lh rd, imm, rs2","lh rd, imm, rs2"
ja rd,"ja rd, address"
"fmsub.s rd, rs1, rs2","fmsub.s rd, rs1, rs2, rs3"
"beq rd, rs1, address","beq rd, rs1, address"
"rem rd, rs1","rem rd, rs1, rs2"
"and rd, rs1","and rd, rs1, rs2"
"mulsu rd, rs1, rs2","mulsu rd, rs1, rs2"
j imm,j imm
"or rd, rs1, rs2","or rd, rs1, rs2"
"xor rd, rs1","xor rd, rs1, rs2"
"sb rd, imm, rs2","sb rd, imm, rs2"
"sb rd, imm","sb rd, imm, rs2"
"mulu rd, rs1","mulu rd, rs1, rs2"
"sltu rd, rs1","sltu rd, rs1, rs2"
"flw rd, imm, rs2","flw rd, imm, rs2"
"slli rd, rs1, imm","slli rd, rs1, imm"
"and rd, rs1","and rd, rs1, rs2"
"bltu rd, rs1","bltu rd, rs1, address"
"ja rd, address","ja rd, address"
"sh rd, imm, rs2","sh rd, imm, rs2"
"fsw rd, imm","fsw rd, imm, rs2"
"sltiu rd, rs1, imm","sltiu rd, rs1, imm"
"flt.s rd, rs1","flt.s rd, rs1, rs2"
"rem rd, rs1","rem rd, rs1, rs2"
"sub rd, rs1, rs2","sub rd, rs1, rs2"
"and rd, rs1","and rd, rs1, rs2"
"div rd, rs1, rs2","div rd, rs1, rs2"
"flw rd, imm, rs2","flw rd, imm, rs2"
"feq.s rd, rs1, rs2","feq.s rd, rs1, rs2"
"lb rd, imm","lb rd, imm, rs2"
"la rd, imm","la rd, imm"
"divu rd, rs1","divu rd, rs1, rs2"
"sh rd, imm, rs2","sh rd, imm, rs2"
"ja rd, address","ja rd, address"
"fsw rd, imm","fsw rd, imm, rs2"
"sltiu rd, rs1","sltiu rd, rs1, imm"
"sub rd, rs1, rs2","sub rd, rs1, rs2"
"srli rd, rs1, imm","srli rd, rs1, imm"
"sra rd, rs1","sra rd, rs1, rs2"
"sb rd, imm","sb rd, imm, rs2"
"andi rd, rs1, imm","andi rd, rs1, imm"
"lh rd, imm, rs2","lh rd, imm, rs2"
la rd,"la rd, imm"
"ori rd, rs1","ori rd, rs1, imm"
"mv rd, rs","mv rd, rs"
"mulu rd, rs1, rs2","mulu rd, rs1, rs2"
"ori rd, rs1, imm","ori rd, rs1, imm"
"bgeu rd, rs1","bgeu rd, rs1, address"
"xori rd, rs1","xori rd, rs1, imm"
"lb rd, imm, rs2","lb rd, imm, rs2"
"flw rd, imm, rs2","flw rd, imm, rs2"
"fmsub.s rd, rs1, rs2, rs3","fmsub.s rd, rs1, rs2, rs3"
mv rd,"mv rd, rs"
"srai rd, rs1, imm","srai rd, rs1, imm"
"andi rd, rs1, imm","andi rd, rs1, imm"
"sra rd, rs1, rs2","sra rd, rs1, rs2"
"srai rd, rs1, imm","srai rd, rs1, imm"
"mulsu rd, rs1","mulsu rd, rs1, rs2"
"slt rd, rs1, rs2","slt rd, rs1, rs2"
"li rd, imm","li rd, imm"
"beq rd, rs1, address","beq rd, rs1, address"
"slt rd, rs1, rs2","slt rd, rs1, rs2"
"lbu rd, imm, rs2","lbu rd, imm, rs2"
"sltu rd, rs1, rs2","sltu rd, rs1, rs2"
"bgeu rd, rs1, address","bgeu rd, rs1, address"
jr rd,jr rd
"sw rd, imm, rs2","sw rd, imm, rs2"
"sh rd, imm, rs2","sh rd, imm, rs2"
"sltiu rd, rs1","sltiu rd, rs1, imm"
"lhu rd, imm, rs2","lhu rd, imm, rs2"
"la rd, imm","la rd, imm"
"slti rd, rs1, imm","slti rd, rs1, imm"
"sh rd, imm","sh rd, imm, rs2"
"lhu rd, imm, rs2","lhu rd, imm, rs2"
"bgeu rd, rs1","bgeu rd, rs1, address"
"xori rd, rs1, imm","xori rd, rs1, imm"
"slli rd, rs1","slli rd, rs1, imm"
ja rd,"ja rd, address"
"mulu rd, rs1, rs2","mulu rd, rs1, rs2"
"srli rd, rs1, imm","srli rd, rs1, imm"
"flw rd, imm","flw rd, imm, rs2"
"sb rd, imm","sb rd, imm, rs2"
"xori rd, rs1","xori rd, rs1, imm"
"ori rd, rs1","ori rd, rs1, imm"
"bge rd, rs1, address","bge rd, rs1, address"
"srl rd, rs1, rs2","srl rd, rs1, rs2"
"sub rd, rs1, rs2","sub rd, rs1, rs2"
mv rd,"mv rd, rs"
"lhu rd, imm","lhu rd, imm, rs2"
"sb rd, imm, rs2","sb rd, imm, rs2"
"feq.s rd, rs1","feq.s rd, rs1, rs2"
"sltu rd, rs1, rs2","sltu rd, rs1, rs2"
"fmsub.s rd, rs1, rs2","fmsub.s rd, rs1, rs2, rs3"
"lb rd, imm","lb rd, imm, rs2"
"beq rd, rs1, address","beq rd, rs1, address"
"lhu rd, imm","lhu rd, imm, rs2"
"flw rd, imm, rs2","flw rd, imm, rs2"
"fsw rd, imm","fsw rd, imm, rs2"
"bgeu rd, rs1, address","bgeu rd, rs1, address"
"mulu rd, rs1","mulu rd, rs1, rs2"
"beq rd, rs1, address","beq rd, rs1, address"
"sb rd, imm","sb rd, imm, rs2"
"mul rd, rs1","mul rd, rs1, rs2"
"slli rd, rs1, imm","slli rd, rs1, imm"
"slt rd, rs1","slt rd, rs1, rs2"
li rd,"li rd, imm"
"mulu rd, rs1","mulu rd, rs1, rs2"
j imm,j imm
"beq rd, rs1","beq rd, rs1, address"
"ori rd, rs1, imm","ori rd, rs1, imm"
"slt rd, rs1","slt rd, rs1, rs2"
"slt rd, rs1, rs2","slt rd, rs1, rs2"
"mul rd, rs1, rs2","mul rd, rs1, rs2"
"blt rd, rs1","blt rd, rs1, address"
"andi rd, rs1","andi rd, rs1, imm"
"lb rd, imm, rs2","lb rd, imm, rs2"
"slli rd, rs1","slli rd, rs1, imm"
"slli rd, rs1, imm","slli rd, rs1, imm"
"bge rd, rs1, address","bge rd, rs1, address"
"sw rd, imm","sw rd, imm, rs2"
"bgeu rd, rs1, address","bgeu rd, rs1, address"
"sub rd, rs1, rs2","sub rd, rs1, rs2"
"addi rd, rs1","addi rd, rs1, imm"
"xori rd, rs1, imm","xori rd, rs1, imm"
"bgeu rd, rs1, address","bgeu rd, rs1, address"
"fmsub.s rd, rs1, rs2","fmsub.s rd, rs1, rs2, rs3"
"or rd, rs1, rs2","or rd, rs1, rs2"
"bge rd, rs1","bge rd, rs1, address"
"blt rd, rs1","blt rd, rs1, address"
"srl rd, rs1, rs2","srl rd, rs1, rs2"
"div rd, rs1","div rd, rs1, rs2"
"sh rd, imm","sh rd, imm, rs2"
"mulsu rd, rs1","mulsu rd, rs1, rs2"
"mulu rd, rs1, rs2","mulu rd, rs1, rs2"
ja rd,"ja rd, address"
"mulsu rd, rs1","mulsu rd, rs1, rs2"
"sra rd, rs1, rs2","sra rd, rs1, rs2"
"srli rd, rs1","srli rd, rs1, imm"
"div rd, rs1","div rd, rs1, rs2"
"beq rd, rs1","beq rd, rs1, address"
"srl rd, rs1","srl rd, rs1, rs2"
"li rd, imm","li rd, imm"
"or rd, rs1","or rd, rs1, rs2"
"sh rd, imm, rs2","sh rd, imm, rs2"
"sltu rd, rs1, rs2","sltu rd, rs1, rs2"
"lh rd, imm, rs2","lh rd, imm, rs2"
"sltiu rd, rs1","sltiu rd, rs1, imm"
"flw rd, imm","flw rd, imm, rs2"
"mulu rd, rs1","mulu rd, rs1, rs2"
"bltu rd, rs1, address","bltu rd, rs1, address"
mv rd,"mv rd, rs"
"div rd, rs1","div rd, rs1, rs2"
"bltu rd, rs1","bltu rd, rs1, address"
"lb rd, imm, rs2","lb rd, imm, rs2"
"lb rd, imm, rs2","lb rd, imm, rs2"
"sra rd, rs1","sra rd, rs1, rs2"
"slli rd, rs1","slli rd, rs1, imm"
"fmsub.s rd, rs1, rs2, rs3","fmsub.s rd, rs1, rs2, rs3"
"srli rd, rs1","srli rd, rs1, imm"
"or rd, rs1","or rd, rs1, rs2"
"bne rd, rs1, address","bne rd, rs1, address"
la rd,"la rd, imm"
"flw rd, imm, rs2","flw rd, imm, rs2"
"bne rd, rs1","bne rd, rs1, address"
"xor rd, rs1","xor rd, rs1, rs2"
"sub rd, rs1, rs2","sub rd, rs1, rs2"
la rd,"la rd, imm"
"addi rd, rs1","addi rd, rs1, imm"
"mulh rd, rs1, rs2","mulh rd, rs1, rs2"
"beq rd, rs1","beq rd, rs1, address"
"divu rd, rs1","divu rd, rs1, rs2"
"mul rd, rs1","mul rd, rs1, rs2"
"xori rd, rs1, imm","xori rd, rs1, imm"
"mulsu rd, rs1, rs2","mulsu rd, rs1, rs2"
"srl rd, rs1, rs2","srl rd, rs1, rs2"
"slli rd, rs1, imm","slli rd, rs1, imm"
"srai rd, rs1, imm","srai rd, rs1, imm"
"lw rd, imm, rs2","lw rd, imm, rs2"
"srai rd, rs1","srai rd, rs1, imm"
"li rd, imm","li rd, imm"
"li rd, imm","li rd, imm"
"srl rd, rs1, rs2","srl rd, rs1, rs2"
"fmadd.s rd, rs1, rs2, rs3","fmadd.s rd, rs1, rs2, rs3"
"feq.s rd, rs1, rs2","feq.s rd, rs1, rs2"
"fmadd.s rd, rs1, rs2, rs3","fmadd.s rd, rs1, rs2, rs3"
"fmadd.s rd, rs1, rs2, rs3","fmadd.s rd, rs1, rs2, rs3"
"andi rd, rs1","andi rd, rs1, imm"
"bltu rd, rs1","bltu rd, rs1, address"
"slli rd, rs1","slli rd, rs1, imm"
"lh rd, imm, rs2","lh rd, imm, rs2"
"sw rd, imm, rs2","sw rd, imm, rs2"
"ja rd, address","ja rd, address"
"sub rd, rs1, rs2","sub rd, rs1, rs2"
"fle.s rd, rs1","fle.s rd, rs1, rs2"
"rem rd, rs1, rs2","rem rd, rs1, rs2"
la rd,"la rd, imm"
"bltu rd, rs1","bltu rd, rs1, address"
"div rd, rs1, rs2","div rd, rs1, rs2"
"beq rd, rs1","beq rd, rs1, address"
"feq.s rd, rs1, rs2","feq.s rd, rs1, rs2"
"addi rd, rs1, imm","addi rd, rs1, imm"
"bne rd, rs1, address","bne rd, rs1, address"
"mulu rd, rs1, rs2","mulu rd, rs1, rs2"
"blt rd, rs1, address","blt rd, rs1, address"
"sra rd, rs1, rs2","sra rd, rs1, rs2"
"sub rd, rs1","sub rd, rs1, rs2"
"lw rd, imm","lw rd, imm, rs2"
"srai rd, rs1, imm","srai rd, rs1, imm"
"beq rd, rs1, address","beq rd, rs1, address"
"xori rd, rs1","xori rd, rs1, imm"
"srai rd, rs1, imm","srai rd, rs1, imm"
"mv rd, rs","mv rd, rs"
"sll rd, rs1","sll rd, rs1, rs2"
"slt rd, rs1","slt rd, rs1, rs2"
"sh rd, imm","sh rd, imm, rs2"
"xori rd, rs1","xori rd, rs1, imm"
"blt rd, rs1","blt rd, rs1, address"
"srli rd, rs1","srli rd, rs1, imm"
"xor rd, rs1, rs2","xor rd, rs1, rs2"
"fle.s rd, rs1, rs2","fle.s rd, rs1, rs2"
"slli rd, rs1","slli rd, rs1, imm"
"blt rd, rs1","blt rd, rs1, address"
"flt.s rd, rs1, rs2","flt.s rd, rs1, rs2"
"flw rd, imm, rs2","flw rd, imm, rs2"
"add rd, rs1","add rd, rs1, rs2"
"sub rd, rs1","sub rd, rs1, rs2"
"lbu rd, imm, rs2","lbu rd, imm, rs2"
li rd,"li rd, imm"
ja rd,"ja rd, address"
"andi rd, rs1","andi rd, rs1, imm"
"flt.s rd, rs1","flt.s rd, rs1, rs2"
"sh rd, imm, rs2","sh rd, imm, rs2"
"li rd, imm","li rd, imm"
"andi rd, rs1","andi rd, rs1, imm"
"lw rd, imm, rs2","lw rd, imm, rs2"
"xor rd, rs1","xor rd, rs1, rs2"
"bge rd, rs1, address","bge rd, rs1, address"
"feq.s rd, rs1, rs2","feq.s rd, rs1, rs2"
"lh rd, imm, rs2","lh rd, imm, rs2"
"fmsub.s rd, rs1, rs2","fmsub.s rd, rs1, rs2, rs3"
"lhu rd, imm, rs2","lhu rd, imm, rs2"
"flt.s rd, rs1, rs2","flt.s rd, rs1, rs2"
"lw rd, imm, rs2","lw rd, imm, rs2"
la rd,"la rd, imm"
"lw rd, imm, rs2","lw rd, imm, rs2"
"lbu rd, imm, rs2","lbu rd, imm, rs2"
"and rd, rs1","and rd, rs1, rs2"
"xor rd, rs1","xor rd, rs1, rs2"
"sub rd, rs1","sub rd, rs1, rs2"
"or rd, rs1","or rd, rs1, rs2"
li rd,"li rd, imm"
"xori rd, rs1, imm","xori rd, rs1, imm"
"or rd, rs1, rs2","or rd, rs1, rs2"
"bltu rd, rs1","bltu rd, rs1, address"
"sub rd, rs1, rs2","sub rd, rs1, rs2"
"div rd, rs1, rs2","div rd, rs1, rs2"
"bgeu rd, rs1","bgeu rd, rs1, address"
"lb rd, imm","lb rd, imm, rs2"
"bltu rd, rs1","bltu rd, rs1, address"
"andi rd, rs1","andi rd, rs1, imm"
"fsw rd, imm, rs2","fsw rd, imm, rs2"
"mulsu rd, rs1","mulsu rd, rs1, rs2"
"andi rd, rs1","andi rd, rs1, imm"
"and rd, rs1, rs2","and rd, rs1, rs2"
"flw rd, imm","flw rd, imm, rs2"
"feq.s rd, rs1, rs2","feq.s rd, rs1, rs2"
"bltu rd, rs1, address","bltu rd, rs1, address"
"blt rd, rs1","blt rd, rs1, address"
"andi rd, rs1, imm","andi rd, rs1, imm"
"srai rd, rs1, imm","srai rd, rs1, imm"
"andi rd, rs1","andi rd, rs1, imm"
"sra rd, rs1, rs2","sra rd, rs1, rs2"
"mulh rd, rs1","mulh rd, rs1, rs2"
j imm,j imm
"fmsub.s rd, rs1, rs2, rs3","fmsub.s rd, rs1, rs2, rs3"
"lhu rd, imm","lhu rd, imm, rs2"
"la rd, imm","la rd, imm"
"sll rd, rs1","sll rd, rs1, rs2"
"fmadd.s rd, rs1, rs2","fmadd.s rd, rs1, rs2, rs3"
"fsw rd, imm, rs2","fsw rd, imm, rs2"
"bgeu rd, rs1, address","bgeu rd, rs1, address"
"bgeu rd, rs1, address","bgeu rd, rs1, address"
"sw rd, imm, rs2","sw rd, imm, rs2"
"lw rd, imm","lw rd, imm, rs2"
"or rd, rs1, rs2","or rd, rs1, rs2"
"addi rd, rs1, imm","addi rd, rs1, imm"
"addi rd, rs1","addi rd, rs1, imm"
"div rd, rs1","div rd, rs1, rs2"
"bge rd, rs1, address","bge rd, rs1, address"
"bltu rd, rs1","bltu rd, rs1, address"
"mulh rd, rs1","mulh rd, rs1, rs2"
"mulsu rd, rs1","mulsu rd, rs1, rs2"
"bltu rd, rs1","bltu rd, rs1, address"
"sb rd, imm","sb rd, imm, rs2"
"sll rd, rs1, rs2","sll rd, rs1, rs2"
"slt rd, rs1, rs2","slt rd, rs1, rs2"
"srl rd, rs1, rs2","srl rd, rs1, rs2"
"srli rd, rs1","srli rd, rs1, imm"
"lw rd, imm","lw rd, imm, rs2"
"li rd, imm","li rd, imm"
"sra rd, rs1, rs2","sra rd, rs1, rs2"
"flw rd, imm","flw rd, imm, rs2"
mv rd,"mv rd, rs"
"fsw rd, imm, rs2","fsw rd, imm, rs2"
"lhu rd, imm, rs2","lhu rd, imm, rs2"
la rd,"la rd, imm"
la rd,"la rd, imm"
li rd,"li rd, imm"
"beq rd, rs1","beq rd, rs1, address"
"slti rd, rs1","slti rd, rs1, imm"
"mulu rd, rs1, rs2","mulu rd, rs1, rs2"
"lbu rd, imm, rs2","lbu rd, imm, rs2"
"sltu rd, rs1","sltu rd, rs1, rs2"
"slti rd, rs1","slti rd, rs1, imm"
"fmadd.s rd, rs1, rs2, rs3","fmadd.s rd, rs1, rs2, rs3"
"slt rd, rs1","slt rd, rs1, rs2"
"slti rd, rs1","slti rd, rs1, imm"
"sltiu rd, rs1, imm","sltiu rd, rs1, imm"
jr rd,jr rd
"ori rd, rs1, imm","ori rd, rs1, imm"
"xori rd, rs1, imm","xori rd, rs1, imm"
"beq rd, rs1, address","beq rd, rs1, address"
"sh rd, imm, rs2","sh rd, imm, rs2"
"bltu rd, rs1","bltu rd, rs1, address"
"slt rd, rs1","slt rd, rs1, rs2"
"bne rd, rs1, address","bne rd, rs1, address"
"sltu rd, rs1, rs2","sltu rd, rs1, rs2"
"add rd, rs1, rs2","add rd, rs1, rs2"
"sh rd, imm, rs2","sh rd, imm, rs2"
"mulsu rd, rs1, rs2","mulsu rd, rs1, rs2"
"addi rd, rs1","addi rd, rs1, imm"
"fle.s rd, rs1, rs2","fle.s rd, rs1, rs2"
"fsw rd, imm, rs2","fsw rd, imm, rs2"
"fmsub.s rd, rs1, rs2, rs3","fmsub.s rd, rs1, rs2, rs3"
"addi rd, rs1, imm","addi rd, rs1, imm"
"lw rd, imm","lw rd, imm, rs2"
"xor rd, rs1","xor rd, rs1, rs2"
"sll rd, rs1, rs2","sll rd, rs1, rs2"
li rd,"li rd, imm"
"fsw rd, imm","fsw rd, imm, rs2"
"and rd, rs1","and rd, rs1, rs2"
"lh rd, imm, rs2","lh rd, imm, rs2"
"add rd, rs1, rs2","add rd, rs1, rs2"
"sltu rd, rs1, rs2","sltu rd, rs1, rs2"
"ori rd, rs1","ori rd, rs1, imm"
"la rd, imm","la rd, imm"
"add rd, rs1","add rd, rs1, rs2"
"divu rd, rs1","divu rd, rs1, rs2"
"feq.s rd, rs1","feq.s rd, rs1, rs2"
"bgeu rd, rs1, address","bgeu rd, rs1, address"
"or rd, rs1, rs2","or rd, rs1, rs2"
"lw rd, imm","lw rd, imm, rs2"
"lhu rd, imm","lhu rd, imm, rs2"
"sb rd, imm","sb rd, imm, rs2"
"lb rd, imm, rs2","lb rd, imm, rs2"
"flw rd, imm, rs2","flw rd, imm, rs2"
"lh rd, imm, rs2","lh rd, imm, rs2"
"sltu rd, rs1, rs2","sltu rd, rs1, rs2"
"flt.s rd, rs1, rs2","flt.s rd, rs1, rs2"
"andi rd, rs1, imm","andi rd, rs1, imm"
"sub rd, rs1, rs2","sub rd, rs1, rs2"
"bltu rd, rs1","bltu rd, rs1, address"
"bge rd, rs1, address","bge rd, rs1, address"
"div rd, rs1, rs2","div rd, rs1, rs2"
"srli rd, rs1","srli rd, rs1, imm"
"fsw rd, imm, rs2","fsw rd, imm, rs2"
"add rd, rs1, rs2","add rd, rs1, rs2"
"li rd, imm","li rd, imm"
"lhu rd, imm, rs2","lhu rd, imm, rs2"
"beq rd, rs1","beq rd, rs1, address"
"blt rd, rs1, address","blt rd, rs1, address"
"andi rd, rs1","andi rd, rs1, imm"
"lbu rd, imm","lbu rd, imm, rs2"
"flw rd, imm, rs2","flw rd, imm, rs2"
"mul rd, rs1","mul rd, rs1, rs2"
"fsw rd, imm, rs2","fsw rd, imm, rs2"
jr rd,jr rd
"add rd, rs1","add rd, rs1, rs2"
"mulh rd, rs1","mulh rd, rs1, rs2"
j imm,j imm
"bltu rd, rs1, address","bltu rd, rs1, address"
"sub rd, rs1","sub rd, rs1, rs2"
"add rd, rs1, rs2","add rd, rs1, rs2"
"mulsu rd, rs1","mulsu rd, rs1, rs2"
"fmadd.s rd, rs1, rs2","fmadd.s rd, rs1, rs2, rs3"
"flw rd, imm","flw rd, imm, rs2"
"addi rd, rs1","addi rd, rs1, imm"
"bne rd, rs1","bne rd, rs1, address"
"and rd, rs1","and rd, rs1, rs2"
"bltu rd, rs1, address","bltu rd, rs1, address"
"sh rd, imm, rs2","sh rd, imm, rs2"
"lb rd, imm, rs2","lb rd, imm, rs2"
"div rd, rs1","div rd, rs1, rs2"
"andi rd, rs1, imm","andi rd, rs1, imm"
"sltiu rd, rs1","sltiu rd, rs1, imm"
"xor rd, rs1, rs2","xor rd, rs1, rs2"
"mul rd, rs1","mul rd, rs1, rs2"
"rem rd, rs1, rs2","rem rd, rs1, rs2"
"slti rd, rs1, imm","slti rd, rs1, imm"
"mul rd, rs1, rs2","mul rd, rs1, rs2"
jr rd,jr rd
"beq rd, rs1","beq rd, rs1, address"
"mulsu rd, rs1","mulsu rd, rs1, rs2"
"addi rd, rs1","addi rd, rs1, imm"
"blt rd, rs1","blt rd, rs1, address"
"or rd, rs1, rs2","or rd, rs1, rs2"
"bltu rd, rs1, address","bltu rd, rs1, address"
"mul rd, rs1","mul rd, rs1, rs2"
"sra rd, rs1, rs2","sra rd, rs1, rs2"
"slt rd, rs1","slt rd, rs1, rs2"
"lb rd, imm, rs2","lb rd, imm, rs2"
"mul rd, rs1","mul rd, rs1, rs2"
jr rd,jr rd
"flw rd, imm","flw rd, imm, rs2"
"lbu rd, imm","lbu rd, imm, rs2"
"srai rd, rs1, imm","srai rd, rs1, imm"
"slt rd, rs1, rs2","slt rd, rs1, rs2"
"lhu rd, imm, rs2","lhu rd, imm, rs2"
"lw rd, imm","lw rd, imm, rs2"
"flt.s rd, rs1, rs2","flt.s rd, rs1, rs2"
j imm,j imm
"slt rd, rs1, rs2","slt rd, rs1, rs2"
"and rd, rs1","and rd, rs1, rs2"
"fmsub.s rd, rs1, rs2","fmsub.s rd, rs1, rs2, rs3"
li rd,"li rd, imm"
"slli rd, rs1, imm","slli rd, rs1, imm"
"bgeu rd, rs1","bgeu rd, rs1, address"
"fmsub.s rd, rs1, rs2, rs3","fmsub.s rd, rs1, rs2, rs3"
"beq rd, rs1, address","beq rd, rs1, address"
"mulsu rd, rs1","mulsu rd, rs1, rs2"
"sltu rd, rs1, rs2","sltu rd, rs1, rs2"
"sll rd, rs1, rs2","sll rd, rs1, rs2"
"flt.s rd, rs1","flt.s rd, rs1, rs2"
"rem rd, rs1","rem rd, rs1, rs2"
"flt.s rd, rs1","flt.s rd, rs1, rs2"
"mul rd, rs1, rs2","mul rd, rs1, rs2"
"andi rd, rs1, imm","andi rd, rs1, imm"
"divu rd, rs1, rs2","divu rd, rs1, rs2"
"lh rd, imm, rs2","lh rd, imm, rs2"
"sb rd, imm","sb rd, imm, rs2"
"sltiu rd, rs1","sltiu rd, rs1, imm"
"lb rd, imm, rs2","lb rd, imm, rs2"
"fmsub.s rd, rs1, rs2","fmsub.s rd, rs1, rs2, rs3"
"li rd, imm","li rd, imm"
"lh rd, imm","lh rd, imm, rs2"
"flt.s rd, rs1","flt.s rd, rs1, rs2"
jr rd,jr rd
"mulu rd, rs1","mulu rd, rs1, rs2"
"mulh rd, rs1","mulh rd, rs1, rs2"
"mulh rd, rs1, rs2","mulh rd, rs1, rs2"
"slti rd, rs1","slti rd, rs1, imm"
li rd,"li rd, imm"
"la rd, imm","la rd, imm"
"lhu rd, imm","lhu rd, imm, rs2"
"slti rd, rs1, imm","slti rd, rs1, imm"
"bge rd, rs1","bge rd, rs1, address"
"sll rd, rs1","sll rd, rs1, rs2"
"rem rd, rs1, rs2","rem rd, rs1, rs2"
"sra rd, rs1, rs2","sra rd, rs1, rs2"
"and rd, rs1, rs2","and rd, rs1, rs2"
"beq rd, rs1, address","beq rd, rs1, address"
"rem rd, rs1, rs2","rem rd, rs1, rs2"
"sh rd, imm","sh rd, imm, rs2"
"slti rd, rs1","slti rd, rs1, imm"
"add rd, rs1","add rd, rs1, rs2"
"bne rd, rs1","bne rd, rs1, address"
"or rd, rs1","or rd, rs1, rs2"
"lw rd, imm, rs2","lw rd, imm, rs2"
"slt rd, rs1, rs2","slt rd, rs1, rs2"
"slli rd, rs1, imm","slli rd, rs1, imm"
"slli rd, rs1","slli rd, rs1, imm"
"and rd, rs1, rs2","and rd, rs1, rs2"
"fmsub.s rd, rs1, rs2","fmsub.s rd, rs1, rs2, rs3"
ja rd,"ja rd, address"
"srli rd, rs1, imm","srli rd, rs1, imm"
"srl rd, rs1","srl rd, rs1, rs2"
"fsw rd, imm, rs2","fsw rd, imm, rs2"
"la rd, imm","la rd, imm"
"bne rd, rs1, address","bne rd, rs1, address"
"addi rd, rs1","addi rd, rs1, imm"
"ori rd, rs1, imm","ori rd, rs1, imm"
"lhu rd, imm","lhu rd, imm, rs2"
"srli rd, rs1","srli rd, rs1, imm"
"xor rd, rs1, rs2","xor rd, rs1, rs2"
"fsw rd, imm","fsw rd, imm, rs2"
"srai rd, rs1, imm","srai rd, rs1, imm"
"lw rd, imm","lw rd, imm, rs2"
"sh rd, imm, rs2","sh rd, imm, rs2"
la rd,"la rd, imm"
"sltu rd, rs1, rs2","sltu rd, rs1, rs2"
"xori rd, rs1","xori rd, rs1, imm"
"sra rd, rs1","sra rd, rs1, rs2"
"sh rd, imm, rs2","sh rd, imm, rs2"
"sb rd, imm","sb rd, imm, rs2"
"fle.s rd, rs1, rs2","fle.s rd, rs1, rs2"
"rem rd, rs1, rs2","rem rd, rs1, rs2"
"slt rd, rs1, rs2","slt rd, rs1, rs2"
"and rd, rs1, rs2","and rd, rs1, rs2"
"slt rd, rs1","slt rd, rs1, rs2"
"bne rd, rs1","bne rd, rs1, address"
"and rd, rs1, rs2","and rd, rs1, rs2"
"mulh rd, rs1, rs2","mulh rd, rs1, rs2"
"or rd, rs1, rs2","or rd, rs1, rs2"
"mulu rd, rs1, rs2","mulu rd, rs1, rs2"
"add rd, rs1","add rd, rs1, rs2"
"or rd, rs1, rs2","or rd, rs1, rs2"
"blt rd, rs1","blt rd, rs1, address"
"sltiu rd, rs1","sltiu rd, rs1, imm"
jr rd,jr rd
"srli rd, rs1, imm","srli rd, rs1, imm"
"fmsub.s rd, rs1, rs2","fmsub.s rd, rs1, rs2, rs3"
"mulsu rd, rs1, rs2","mulsu rd, rs1, rs2"
"lhu rd, imm, rs2","lhu rd, imm, rs2"
"mul rd, rs1, rs2","mul rd, rs1, rs2"
"fmadd.s rd, rs1, rs2","fmadd.s rd, rs1, rs2, rs3"
"andi rd, rs1, imm","andi rd, rs1, imm"
"sb rd, imm","sb rd, imm, rs2"
"xor rd, rs1","xor rd, rs1, rs2"
jr rd,jr rd
"srli rd, rs1, imm","srli rd, rs1, imm"
"ori rd, rs1, imm","ori rd, rs1, imm"
"addi rd, rs1, imm","addi rd, rs1, imm"
"and rd, rs1, rs2","and rd, rs1, rs2"
"bge rd, rs1, address","bge rd, rs1, address"
"add rd, rs1, rs2","add rd, rs1, rs2"
"xor rd, rs1, rs2","xor rd, rs1, rs2"
"bgeu rd, rs1, address","bgeu rd, rs1, address"
"blt rd, rs1","blt rd, rs1, address"
"sb rd, imm, rs2","sb rd, imm, rs2"
"mv rd, rs","mv rd, rs"
"mulh rd, rs1, rs2","mulh rd, rs1, rs2"
"andi rd, rs1, imm","andi rd, rs1, imm"
"sll rd, rs1, rs2","sll rd, rs1, rs2"
"mul rd, rs1","mul rd, rs1, rs2"
"sll rd, rs1, rs2","sll rd, rs1, rs2"
"xori rd, rs1","xori rd, rs1, imm"
"lb rd, imm, rs2","lb rd, imm, rs2"
"mulh rd, rs1","mulh rd, rs1, rs2"
"sra rd, rs1","sra rd, rs1, rs2"
"sb rd, imm","sb rd, imm, rs2"
"li rd, imm","li rd, imm"
"lw rd, imm, rs2","lw rd, imm, rs2"
"sra rd, rs1","sra rd, rs1, rs2"
"bgeu rd, rs1, address","bgeu rd, rs1, address"
"sra rd, rs1, rs2","sra rd, rs1, rs2"
"sltiu rd, rs1, imm","sltiu rd, rs1, imm"
"divu rd, rs1, rs2","divu rd, rs1, rs2"
"mulsu rd, rs1","mulsu rd, rs1, rs2"
"fsw rd, imm","fsw rd, imm, rs2"
"mul rd, rs1, rs2","mul rd, rs1, rs2"
"srli rd, rs1","srli rd, rs1, imm"
"and rd, rs1, rs2","and rd, rs1, rs2"
"fle.s rd, rs1","fle.s rd, rs1, rs2"
"sb rd, imm, rs2","sb rd, imm, rs2"
